wdir,temp,maxt,visibility,wspd,datetimeStr,solarenergy,heatindex,cloudcover,mint,datetime,precip,solarradiation,weathertype,snowdepth,sealevelpressure,snow,dew,humidity,precipcover,wgust,conditions,windchill,info
195.04,28.0,45.3,9.9,9.6,2022-01-28T00:00:00-07:00,3.4,,0.0,8.7,1643328000000,0.0,79.5,,1.18,1031.4,,4.7,39.37,0.0,,Clear,-2.4,
185.17,39.2,54.3,9.9,13.0,2022-01-29T00:00:00-07:00,4.3,,5.9,23.0,1643414400000,0.0,99.5,,,1021.5,,0.3,21.69,0.0,,Clear,12.4,
158.54,35.6,50.8,9.9,10.4,2022-01-30T00:00:00-07:00,4.5,,7.4,22.2,1643500800000,0.0,103.7,,,1016.5,,3.7,27.54,0.0,,Clear,13.9,
202.46,42.4,61.3,9.9,15.5,2022-01-31T00:00:00-07:00,4.9,,16.7,25.6,1643587200000,0.0,113.5,,,1006.5,,-5.3,16.92,0.0,32.2,Clear,17.9,
128.88,26.8,34.2,8.1,20.1,2022-02-01T00:00:00-07:00,7.4,,69.3,18.1,1643673600000,0.08,171.3,"Light Snow, Precipitation In Vicinity, Fog, Snow",4.4,1011.7,,11.7,54.85,16.67,31.1,"Rain, Partially cloudy",4.5,
136.25,8.6,17.4,3.2,13.1,2022-02-02T00:00:00-07:00,2.5,,97.9,0.2,1643760000000,0.14,57.6,"Mist, Light Snow, Snow",5.91,1022.2,,3.8,80.41,70.83,,"Rain, Overcast",-15.4,
161.79,3.7,10.1,8.8,8.8,2022-02-03T00:00:00-07:00,5.8,,43.9,-3.6,1643846400000,0.0,133.8,"Light Snow, Mist, Smoke Or Haze",4.4,1029.0,,-2.9,73.7,4.17,,Partially cloudy,-11.4,
170.17,17.6,30.5,9.9,10.4,2022-02-04T00:00:00-07:00,6.0,,1.5,5.0,1643932800000,0.0,138.6,,3.94,1033.1,,2.7,52.5,0.0,,Clear,-7.8,
221.96,35.2,47.8,9.9,13.1,2022-02-05T00:00:00-07:00,5.4,,19.9,16.6,1644019200000,0.0,124.3,,3.15,1019.1,,9.1,35.5,0.0,34.4,Clear,5.1,
240.21,28.6,34.4,9.8,20.8,2022-02-06T00:00:00-07:00,6.7,,51.6,20.3,1644105600000,0.0,156.2,Light Snow,1.18,1026.2,,15.2,57.52,0.0,34.3,Partially cloudy,13.6,
185.25,32.1,46.1,9.9,9.8,2022-02-07T00:00:00-07:00,5.7,,0.0,18.2,1644192000000,0.0,132.3,,,1026.4,,10.3,41.54,0.0,,Clear,8.3,
179.46,39.5,46.7,9.9,19.9,2022-02-08T00:00:00-07:00,5.2,,17.9,29.2,1644278400000,0.0,120.0,,,1018.9,,12.9,34.06,0.0,35.6,Clear,22.4,
191.17,36.3,44.5,9.9,15.5,2022-02-09T00:00:00-07:00,6.7,,47.3,29.5,1644364800000,0.0,154.9,,,1018.8,,13.6,39.62,0.0,25.3,Partially cloudy,22.0,
176.88,39.0,52.8,9.9,11.9,2022-02-10T00:00:00-07:00,5.5,,32.0,23.5,1644451200000,0.0,126.5,,,1015.8,,20.9,52.6,0.0,36.9,Partially cloudy,16.9,
255.21,32.5,43.4,7.6,25.3,2022-02-11T00:00:00-07:00,3.3,,65.7,22.3,1644537600000,0.06,76.3,"Light Snow, Mist, Fog, Snow",1.97,1017.3,,17.5,57.35,16.67,39.8,"Rain, Partially cloudy",11.5,
198.42,22.9,33.1,9.9,10.0,2022-02-12T00:00:00-07:00,4.4,,33.1,8.4,1644624000000,0.0,93.9,,1.97,1029.6,,13.9,68.68,0.0,24.2,Partially cloudy,-2.0,
116.54,35.8,52.3,9.9,8.2,2022-02-13T00:00:00-07:00,7.4,,7.7,21.5,1644710400000,0.0,158.5,,,1024.4,,13.8,42.98,0.0,,Clear,12.6,
192.54,39.0,50.8,9.9,14.4,2022-02-14T00:00:00-07:00,7.2,,16.1,28.6,1644796800000,0.0,167.4,,,1016.4,,13.2,35.31,0.0,21.9,Clear,22.5,
251.71,45.5,62.0,9.9,12.6,2022-02-15T00:00:00-07:00,8.1,,45.2,34.6,1644883200000,0.0,173.5,,,1002.5,,5.7,21.82,0.0,32.2,Partially cloudy,27.7,
156.71,33.4,42.2,8.5,19.5,2022-02-16T00:00:00-07:00,6.5,,55.2,20.5,1644969600000,0.0,150.5,"Light Snow, Precipitation In Vicinity",,1004.5,,16.2,51.76,4.17,31.6,Partially cloudy,5.1,
214.54,20.4,29.5,9.9,20.7,2022-02-17T00:00:00-07:00,8.1,,36.0,11.2,1645056000000,0.0,173.9,Light Snow,,1021.5,,10.1,64.56,0.0,33.0,Partially cloudy,-0.6,
178.75,34.5,47.3,9.9,13.4,2022-02-18T00:00:00-07:00,8.3,,18.0,22.1,1645142400000,0.0,176.4,,,1021.4,,11.6,40.53,0.0,21.9,Clear,16.1,
87.21,38.9,52.8,9.9,12.1,2022-02-19T00:00:00-07:00,8.2,,3.1,23.7,1645228800000,0.0,174.4,,,1016.8,,12.0,36.54,0.0,32.2,Clear,17.6,
237.63,49.5,62.3,9.9,21.9,2022-02-20T00:00:00-07:00,8.5,,33.8,40.4,1645315200000,0.0,181.2,,,1004.6,,-1.8,12.69,0.0,37.7,Partially cloudy,33.3,
194.29,36.5,52.8,9.8,23.1,2022-02-21T00:00:00-07:00,8.1,,68.4,13.3,1645401600000,0.0,172.5,Light Snow,,999.6,,7.4,35.76,0.0,36.0,Partially cloudy,0.6,
217.46,5.5,11.2,5.3,14.0,2022-02-22T00:00:00-07:00,5.4,,92.0,0.6,1645488000000,0.07,115.8,"Blowing Or Drifting Snow, Heavy Snow, Light Snow, Mist, Precipitation In Vicinity, Fog",1.18,1020.5,,-3.2,66.97,41.67,26.4,"Rain, Overcast",-17.9,
134.79,0.4,5.1,4.6,17.1,2022-02-23T00:00:00-07:00,2.8,,91.6,-6.2,1645574400000,0.02,59.3,"Blowing Or Drifting Snow, Light Snow, Mist",1.49,1024.3,,-6.1,73.34,16.67,26.4,"Rain, Overcast",-25.4,
120.54,7.4,17.5,8.5,13.4,2022-02-24T00:00:00-07:00,6.5,,45.3,-3.5,1645660800000,0.02,137.8,"Blowing Or Drifting Snow, Light Snow, Mist",1.49,1020.3,,-0.4,69.87,16.67,17.2,"Rain, Partially cloudy",-17.4,
97.79,16.8,27.0,9.9,9.6,2022-02-25T00:00:00-07:00,9.6,,21.0,6.4,1645747200000,0.0,204.3,Light Snow,1.97,1026.7,,4.2,57.82,0.0,20.8,Clear,-5.6,
127.33,23.5,35.8,9.9,8.9,2022-02-26T00:00:00-07:00,10.9,,6.8,8.5,1645833600000,0.0,231.8,,1.18,1027.5,,2.5,44.36,0.0,17.2,Clear,0.2,
173.54,35.3,52.7,9.9,11.4,2022-02-27T00:00:00-07:00,11.8,,8.5,16.4,1645920000000,0.0,251.2,,,1025.8,,3.4,29.9,0.0,17.7,Clear,7.2,
202.29,43.4,56.7,9.9,12.0,2022-02-28T00:00:00-07:00,12.5,,38.6,30.5,1646006400000,0.0,267.5,,,1021.2,,8.7,25.48,0.0,19.5,Partially cloudy,22.5,
219.0,49.3,66.8,9.9,12.1,2022-03-01T00:00:00-07:00,13.0,,5.7,34.2,1646092800000,0.0,278.5,,,1018.9,,7.7,20.88,0.0,21.9,Clear,28.0,
165.42,53.1,68.9,9.9,16.1,2022-03-02T00:00:00-07:00,10.6,,16.4,38.9,1646179200000,0.0,227.0,,,1016.9,,14.7,24.28,0.0,24.2,Clear,33.6,
181.08,54.8,70.2,9.9,17.5,2022-03-03T00:00:00-07:00,12.3,,29.7,41.5,1646265600000,0.0,263.6,,,1011.5,,10.9,19.04,0.0,24.2,Partially cloudy,36.3,
193.92,50.1,63.8,9.9,18.5,2022-03-04T00:00:00-07:00,8.6,,52.2,41.1,1646352000000,0.01,184.5,"Squalls, Light Rain",,1003.2,,17.5,29.55,4.17,45.4,"Rain, Partially cloudy",37.7,
184.08,37.7,49.1,9.6,21.4,2022-03-05T00:00:00-07:00,10.4,,72.5,26.1,1646438400000,0.01,222.5,Light Snow,,1003.7,,21.8,54.71,4.17,36.9,"Rain, Partially cloudy",16.4,
158.83,20.9,25.3,6.2,13.0,2022-03-06T00:00:00-07:00,3.3,,98.5,17.0,1646524800000,0.07,71.5,"Light Snow, Mist, Light Rain And Snow, Fog, Light Freezing Drizzle/Freezing Rain, Snow",1.97,1018.5,,15.3,78.88,41.67,17.2,"Rain, Overcast",5.5,
151.96,17.1,20.5,5.7,13.0,2022-03-07T00:00:00-07:00,5.5,,95.4,13.9,1646611200000,0.03,118.0,"Light Snow, Snow",3.15,1025.2,,11.2,77.33,29.17,,"Rain, Overcast",3.4,
143.83,24.9,34.7,8.7,13.5,2022-03-08T00:00:00-07:00,13.9,,38.7,15.2,1646697600000,0.0,296.7,"Mist, Fog",1.18,1016.6,,9.4,55.39,0.0,25.2,Partially cloudy,8.8,
159.83,19.8,30.5,8.1,16.4,2022-03-09T00:00:00-07:00,5.5,,64.7,9.3,1646784000000,0.03,118.0,Light Snow,1.18,1012.0,,8.8,62.04,12.5,27.7,"Rain, Partially cloudy",-4.6,
146.79,10.5,15.9,6.0,10.2,2022-03-10T00:00:00-07:00,3.0,,91.4,3.3,1646870400000,0.05,64.0,"Light Snow, Mist",1.97,1021.2,,3.2,72.09,12.5,,"Rain, Overcast",-8.9,
